Владение русским,Проживание в чужой стране,Проживание в новой стране менее 11 лет,age,gen,duration,Orgina_con,New_con,MFA1,MFA2,MFA3,MFA4,L1,L2,L3,L4,MFR1,MFR2,MFR3,MFR4,AD1,AD2,AD3,AD4,RH1,RH2,RH3,RH4,UHS TOTAL,MHC_emot1,MHC_emot2,MHS_emot3,MHC_soc4,MHC_soc5,MHC_soc6,MHC_soc7,MHC_soc8,MHC_psy9,MHC_psy10,MHC_psy11,MHC_psy12,MHC_psy13,MHC_psy14,MHC TOTAL,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,MSPSS Total,SOBI-P1,SOBI-P2,SOBI-P3,SOBI-P4,SOBI-P5,SOBI-P6,SOBI-P7,SOBI-P8,SOBI-P9,SOBI-P10,SOBI-P11,SOBI-P12,SOBI-P13,SOBI-P14,SOBI-P15,SOBI-P16,SOBI-P17,SOBI-P18,SOBI-P Total
Да,Да,Да,21,F,4,Россия,Англия,3,2,3,3,4,2,3,1,5,2,5,5,5,3,3,3,1,1,3,2,2.95,3,1,1,0,1,0,1,1,0,1,1,0,1,0,11,3,4,3,3,4,3,3,2,3,3,3,3,3.08,2,2,1,2,2,2,2,1,2,1,2,3,2,2,1,1,2,2,32
Да,Да,Да,19,F,1,Россия,Англия,4,4,4,4,3,2,2,1,3,2,2,3,3,3,3,3,3,2,2,3,2.8,1,3,0,1,1,3,0,1,1,1,1,3,0,1,17,3,3,2,3,3,4,3,3,3,4,3,3,3.08,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,1,2,38
Да,Да,Да,20,F,5,Россия,Кипр,1,1,3,3,2,1,1,1,3,1,2,4,2,3,1,1,2,1,1,1,1.75,5,4,3,5,4,5,4,5,4,4,4,5,5,5,62,5,5,5,6,5,5,6,6,5,6,6,6,5.50,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,58
Да,Да,Да,21,F,3,Россия,Англия,3,4,1,4,4,4,5,1,2,3,3,3,3,2,2,3,2,1,1,3,2.7,3,1,1,3,1,0,1,3,0,1,1,1,1,1,18,4,3,4,4,3,4,4,3,4,3,4,4,3.67,2,3,1,3,3,2,2,2,2,2,2,3,3,3,3,2,2,3,43
Да,Да,Да,22,M,10,Нигерия,Россия,3,3,3,2,1,2,1,4,3,3,2,3,2,2,2,3,1,1,1,2,2.2,3,3,1,3,1,3,1,3,3,1,1,3,3,3,32,5,5,4,4,5,4,5,3,4,5,4,4,4.33,2,3,3,3,3,3,3,4,2,3,3,3,3,2,3,3,3,4,53
Да,Да,Да,21,M,10,Канада,Россия,4,3,4,3,4,3,3,2,5,4,4,4,2,3,2,3,4,3,3,2,3.25,1,0,1,0,3,3,0,1,1,0,0,1,1,0,12,2,2,3,3,2,2,3,3,4,3,2,2,2.58,2,1,1,2,1,3,1,3,2,2,2,2,2,3,2,2,2,2,35
Да,Да,Да,20,F,3,Россия,Германия,1,1,5,1,4,3,5,5,5,5,5,5,2,4,3,1,5,2,5,5,3.6,0,0,1,1,0,0,0,0,0,1,0,1,1,0,5,2,1,2,2,1,2,1,2,2,3,2,2,1.83,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,30
Да,Да,Да,22,F,3,Россия,Германия,2,1,4,1,4,3,4,1,3,1,4,4,3,5,4,4,4,4,2,5,3.15,1,2,1,0,2,1,1,1,0,2,1,1,1,0,14,2,3,2,3,2,2,2,3,2,3,2,2,2.33,3,3,1,2,2,2,2,2,2,2,2,1,2,1,2,3,2,3,37
Да,Да,Да,20,M,3,Приднестровье,Россия,3,4,2,3,4,1,5,1,3,1,4,3,2,3,2,1,4,3,2,3,2.7,2,3,1,3,2,3,1,3,3,1,2,0,1,1,26,4,3,4,4,3,3,3,4,3,3,2,3,3.25,3,3,2,3,2,3,4,2,3,2,3,3,2,3,3,2,3,3,49
Да,Да,Да,21,M,2,Ирландия,США,3,3,4,4,3,1,2,4,4,2,2,4,2,2,2,2,3,3,3,2,2.75,3,2,3,1,3,2,3,1,1,3,1,2,1,1,27,3,3,4,5,3,3,2,3,3,2,3,3,3.08,3,2,2,2,2,3,3,2,3,3,3,3,3,3,2,2,3,3,47
Да,Да,Да,19,F,2,Узбекистан,Россия,4,4,4,5,3,1,2,1,4,3,5,4,2,3,3,1,2,1,3,4,2.95,3,2,3,1,0,2,3,1,1,1,1,2,1,1,22,3,4,4,3,3,2,3,2,3,3,4,2,3.00,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2,40
Да,Да,Да,19,M,2,Узбекистан,Россия,4,4,5,5,2,2,2,4,5,4,4,5,3,3,3,3,4,2,4,3,3.55,0,1,0,0,0,1,0,2,0,0,1,0,1,1,7,2,2,3,2,3,2,2,2,3,3,3,3,2.50,2,2,3,2,2,1,2,2,2,2,2,2,3,2,2,3,3,2,39
Да,Да,Да,22,F,6,Беларусь,Россия,3,3,3,4,4,3,1,2,2,2,3,2,3,2,3,3,1,1,2,2,2.45,2,3,2,4,2,0,1,2,1,2,1,2,1,2,25,4,4,4,4,3,4,4,4,4,4,4,4,3.92,3,3,2,2,2,2,3,3,4,2,3,3,3,3,2,3,3,3,49
